N,P,K,temperature,humidity,ph,rainfall,soil_type,season,district,irrigation,label
31,37,18,30.05,50.34,6.4,417.52,Alluvial Soil,Kharif,Amreli,Low,Sesame
34,47,29,27.71,76.36,7.0,695.11,Sandy Soil,Kharif,Rajkot,Medium,Groundnut
112,54,41,31.59,62.95,6.15,865.26,Black Soil,Kharif,Surat,Medium,Cotton
56,38,46,20.41,52.68,6.59,169.22,Sandy Soil,Rabi,Banaskantha,Low,Mustard
28,47,38,23.16,44.0,7.2,131.66,Clay Soil,Rabi,Jamnagar,Low,Gram
58,31,31,35.23,37.64,6.94,281.59,Loamy Soil,Kharif,Jamnagar,Low,Bajra
71,41,30,17.02,54.91,6.95,150.64,Sandy Soil,Rabi,Mehsana,Low,Mustard
85,53,45,27.34,69.87,6.28,849.0,Loamy Soil,Kharif,Ahmedabad,High,Maize
28,33,33,23.12,31.23,6.4,119.21,Alluvial Soil,Rabi,Rajkot,Low,Cumin
90,53,47,20.63,47.6,6.42,148.5,Clay Soil,Rabi,Ahmedabad,Medium,Wheat
51,30,36,32.37,42.7,6.12,289.55,Loamy Soil,Kharif,Kutch,Low,Bajra
84,45,52,20.18,45.49,7.88,202.62,Clay Soil,Rabi,Rajkot,Medium,Wheat
56,42,31,21.37,49.9,4.86,142.95,Sandy Soil,Rabi,Mehsana,Low,Mustard
76,48,47,18.43,50.41,6.9,196.39,Loamy Soil,Rabi,Jamnagar,Low,Mustard
53,22,26,28.91,52.48,6.27,376.03,Sandy Soil,Kharif,Mehsana,Low,Castor
83,45,50,19.78,48.07,6.15,265.63,Black Soil,Rabi,Ahmedabad,Medium,Wheat
87,62,37,28.63,73.94,6.75,856.65,Red Soil,Kharif,Mehsana,High,Maize
82,46,38,28.02,68.87,6.81,825.89,Loamy Soil,Kharif,Mehsana,High,Maize
53,31,36,34.16,36.66,6.92,235.07,Sandy Soil,Kharif,Mehsana,Low,Bajra
93,53,46,31.71,67.05,6.88,764.63,Black Soil,Kharif,Jamnagar,Medium,Cotton
33,32,24,21.4,38.28,6.99,117.28,Sandy Soil,Rabi,Jamnagar,Low,Cumin
104,54,45,33.34,61.24,7.06,810.3,Black Soil,Kharif,Jamnagar,Medium,Cotton
39,43,33,26.47,72.02,6.87,682.1,Black Soil,Kharif,Jamnagar,Medium,Groundnut
96,51,45,28.24,62.61,6.49,882.52,Loamy Soil,Kharif,Anand,High,Maize
92,38,42,24.06,66.96,6.76,815.05,Alluvial Soil,Kharif,Banaskantha,High,Maize
91,44,48,27.75,72.18,6.72,799.53,Red Soil,Kharif,Banaskantha,High,Maize
114,50,55,31.74,69.91,6.49,847.15,Black Soil,Kharif,Bhavnagar,Medium,Cotton
62,32,38,16.53,54.25,6.8,205.27,Alluvial Soil,Rabi,Banaskantha,Low,Mustard
97,43,36,18.03,46.42,7.18,230.04,Clay Soil,Rabi,Mehsana,Medium,Wheat
41,31,25,22.82,31.14,5.67,105.61,Loamy Soil,Rabi,Mehsana,Low,Cumin
48,43,31,19.82,50.8,6.25,177.29,Alluvial Soil,Rabi,Jamnagar,Low,Mustard
104,56,48,31.57,66.97,6.84,820.49,Black Soil,Kharif,Jamnagar,Medium,Cotton
33,45,27,25.43,74.32,6.79,673.35,Black Soil,Kharif,Bhavnagar,Medium,Groundnut
98,46,47,21.41,47.13,5.94,243.37,Clay Soil,Rabi,Mehsana,Medium,Wheat
98,53,51,32.85,65.86,7.1,698.74,Alluvial Soil,Kharif,Vadodara,Medium,Cotton
75,54,36,24.72,76.55,7.06,1038.24,Loamy Soil,Kharif,Vadodara,High,Maize
28,31,27,20.59,31.94,6.14,74.69,Loamy Soil,Rabi,Kutch,Low,Cumin
46,42,24,30.73,70.01,5.97,705.19,Sandy Soil,Kharif,Amreli,Medium,Groundnut
38,25,25,27.21,50.54,6.52,439.67,Alluvial Soil,Kharif,Kutch,Low,Sesame
56,36,36,28.56,53.27,7.06,386.04,Alluvial Soil,Kharif,Anand,Low,Castor
41,29,29,25.33,48.99,6.32,428.07,Alluvial Soil,Kharif,Kutch,Low,Sesame
48,31,25,29.33,51.35,6.37,452.71,Alluvial Soil,Kharif,Rajkot,Low,Castor
90,49,41,26.55,70.05,6.83,896.53,Red Soil,Kharif,Anand,High,Maize
33,42,36,24.39,46.93,6.83,159.66,Clay Soil,Rabi,Jamnagar,Low,Gram
90,44,50,19.49,49.42,6.28,206.52,Black Soil,Rabi,Anand,Medium,Wheat
47,39,34,27.98,71.67,6.94,693.95,Black Soil,Kharif,Jamnagar,Medium,Groundnut
55,44,25,30.33,50.77,6.83,459.19,Alluvial Soil,Kharif,Anand,Low,Castor
76,50,46,25.11,70.76,6.2,946.72,Loamy Soil,Kharif,Vadodara,High,Maize
78,57,37,23.08,65.67,6.69,892.14,Loamy Soil,Kharif,Mehsana,High,Maize
37,22,22,29.74,49.38,6.48,379.35,Alluvial Soil,Kharif,Kutch,Low,Sesame
63,51,32,15.32,51.91,6.68,137.53,Alluvial Soil,Rabi,Jamnagar,Low,Mustard
51,42,30,31.73,42.32,6.73,252.39,Loamy Soil,Kharif,Mehsana,Low,Bajra
97,61,51,31.82,63.27,6.33,828.55,Black Soil,Kharif,Vadodara,High,Cotton
43,38,38,25.52,70.79,6.45,670.62,Loamy Soil,Kharif,Amreli,Medium,Groundnut
62,40,25,36.7,43.17,6.32,289.57,Loamy Soil,Kharif,Mehsana,Low,Bajra
57,31,32,29.49,59.77,6.23,486.77,Sandy Soil,Kharif,Kutch,Low,Castor
77,48,43,21.43,44.49,6.45,213.32,Black Soil,Rabi,Anand,Medium,Wheat
40,52,39,23.69,40.57,7.91,118.48,Loamy Soil,Rabi,Junagadh,Low,Gram
27,48,35,20.28,41.61,6.94,162.32,Clay Soil,Rabi,Rajkot,Low,Gram
39,30,24,24.28,35.55,6.87,116.11,Sandy Soil,Rabi,Banaskantha,Low,Cumin
36,32,30,29.12,44.71,6.15,427.21,Loamy Soil,Kharif,Bhavnagar,Low,Sesame
98,53,48,18.94,45.14,6.57,229.11,Alluvial Soil,Rabi,Mehsana,Medium,Wheat
51,46,35,27.16,75.72,6.37,663.88,Sandy Soil,Kharif,Bhavnagar,Medium,Groundnut
62,28,26,38.03,41.03,6.82,323.0,Sandy Soil,Kharif,Jamnagar,Low,Bajra
38,33,31,31.29,52.49,6.61,517.88,Sandy Soil,Kharif,Mehsana,Low,Castor
98,46,42,20.51,46.81,6.34,201.62,Black Soil,Rabi,Ahmedabad,Medium,Wheat
50,33,25,28.24,53.66,6.2,530.08,Alluvial Soil,Kharif,Kutch,Low,Castor
43,37,29,31.43,40.06,6.99,251.09,Loamy Soil,Kharif,Jamnagar,Low,Bajra
34,53,46,21.61,38.24,6.05,190.06,Loamy Soil,Rabi,Vadodara,Low,Gram
35,30,24,30.14,50.04,6.29,418.94,Sandy Soil,Kharif,Junagadh,Low,Sesame
32,31,29,20.96,31.8,6.34,114.33,Alluvial Soil,Rabi,Banaskantha,Low,Cumin
61,37,28,32.08,37.04,6.62,190.57,Loamy Soil,Kharif,Jamnagar,Low,Bajra
39,29,24,32.61,52.23,6.47,397.97,Loamy Soil,Kharif,Kutch,Low,Castor
89,53,46,29.16,69.21,7.16,922.87,Loamy Soil,Kharif,Banaskantha,High,Maize
37,31,21,28.93,45.8,7.34,344.14,Sandy Soil,Kharif,Junagadh,Low,Sesame
85,38,33,25.6,67.67,7.23,897.29,Loamy Soil,Kharif,Vadodara,High,Maize
85,49,34,28.44,69.27,6.56,850.1,Red Soil,Kharif,Vadodara,High,Maize
36,53,28,26.65,68.1,6.28,624.81,Sandy Soil,Kharif,Bhavnagar,Medium,Groundnut
32,25,27,31.78,47.83,6.49,441.9,Loamy Soil,Kharif,Amreli,Low,Sesame
71,46,45,18.64,44.29,6.64,166.99,Black Soil,Rabi,Anand,Medium,Wheat
83,48,41,25.47,74.82,7.07,819.13,Red Soil,Kharif,Ahmedabad,High,Maize
35,45,32,28.35,68.86,6.56,578.68,Sandy Soil,Kharif,Amreli,Medium,Groundnut
53,34,28,31.63,57.75,5.95,450.59,Sandy Soil,Kharif,Banaskantha,Low,Castor
88,42,37,30.19,62.64,7.48,764.94,Alluvial Soil,Kharif,Vadodara,High,Cotton
44,33,33,30.69,51.78,6.11,481.24,Alluvial Soil,Kharif,Kutch,Low,Castor
29,27,29,27.29,52.1,5.88,389.35,Loamy Soil,Kharif,Rajkot,Low,Sesame
99,45,44,21.26,51.16,6.38,226.64,Loamy Soil,Rabi,Rajkot,Medium,Wheat
62,39,36,16.79,48.55,5.91,209.52,Sandy Soil,Rabi,Banaskantha,Low,Mustard
58,40,38,18.87,52.12,6.34,150.58,Sandy Soil,Rabi,Jamnagar,Low,Mustard
98,55,52,33.62,68.52,6.94,778.99,Alluvial Soil,Kharif,Jamnagar,Medium,Cotton
57,32,27,35.67,44.14,6.85,280.47,Sandy Soil,Kharif,Ahmedabad,Low,Bajra
87,45,51,32.03,64.54,6.29,779.65,Alluvial Soil,Kharif,Jamnagar,Medium,Cotton
37,29,31,31.16,52.17,5.98,327.48,Alluvial Soil,Kharif,Mehsana,Low,Castor
57,30,36,36.58,42.53,6.31,277.47,Sandy Soil,Kharif,Ahmedabad,Low,Bajra
99,62,57,31.39,62.99,6.73,733.44,Alluvial Soil,Kharif,Junagadh,High,Cotton
39,27,22,30.38,45.79,6.37,394.15,Alluvial Soil,Kharif,Amreli,Low,Sesame
47,39,36,30.81,74.41,6.9,658.48,Loamy Soil,Kharif,Rajkot,Medium,Groundnut
108,45,52,34.05,61.26,6.04,867.84,Black Soil,Kharif,Junagadh,High,Cotton
29,52,35,19.95,39.31,6.75,167.95,Clay Soil,Rabi,Junagadh,Low,Gram
42,24,25,32.55,52.18,7.02,437.01,Sandy Soil,Kharif,Junagadh,Low,Sesame
47,25,31,31.24,42.37,6.51,339.93,Sandy Soil,Kharif,Jamnagar,Low,Bajra
39,27,24,30.52,52.93,5.8,408.13,Sandy Soil,Kharif,Bhavnagar,Low,Sesame
34,53,38,22.93,45.46,6.55,137.63,Loamy Soil,Rabi,Vadodara,Low,Gram
38,23,22,27.4,52.23,5.52,413.12,Loamy Soil,Kharif,Amreli,Low,Sesame
57,36,39,23.79,49.72,6.71,173.37,Loamy Soil,Rabi,Banaskantha,Low,Mustard
35,26,17,30.52,52.09,6.22,441.95,Alluvial Soil,Kharif,Junagadh,Low,Sesame
49,39,22,30.19,50.76,6.38,395.25,Sandy Soil,Kharif,Banaskantha,Low,Castor
41,34,24,21.36,31.95,6.14,139.97,Sandy Soil,Rabi,Mehsana,Low,Cumin
56,47,23,19.85,52.45,6.41,155.67,Loamy Soil,Rabi,Ahmedabad,Low,Mustard
80,52,40,19.88,46.28,6.52,215.25,Black Soil,Rabi,Rajkot,Medium,Wheat
37,28,31,23.81,33.28,6.42,105.84,Loamy Soil,Rabi,Mehsana,Low,Cumin
56,41,35,31.36,39.62,6.49,364.65,Loamy Soil,Kharif,Mehsana,Low,Bajra
55,40,33,21.9,52.71,6.66,163.75,Alluvial Soil,Rabi,Kutch,Low,Mustard
34,48,40,29.84,69.14,6.93,616.84,Loamy Soil,Kharif,Junagadh,Medium,Groundnut
31,47,37,22.7,44.27,7.77,195.53,Black Soil,Rabi,Junagadh,Low,Gram
31,40,28,27.03,71.3,6.62,693.28,Black Soil,Kharif,Amreli,Medium,Groundnut
55,44,30,33.11,43.35,7.01,281.39,Loamy Soil,Kharif,Ahmedabad,Low,Bajra
38,38,30,29.7,52.55,6.22,383.63,Loamy Soil,Kharif,Kutch,Low,Sesame
34,17,23,29.99,47.03,6.44,444.63,Loamy Soil,Kharif,Kutch,Low,Sesame
34,26,25,20.48,35.28,6.35,100.16,Loamy Soil,Rabi,Mehsana,Low,Cumin
50,46,29,16.82,49.63,7.04,145.3,Sandy Soil,Rabi,Mehsana,Low,Mustard
58,31,36,33.45,35.1,7.27,236.52,Loamy Soil,Kharif,Mehsana,Low,Bajra
81,45,45,19.89,51.92,6.43,233.49,Loamy Soil,Rabi,Mehsana,Medium,Wheat
40,44,32,27.86,72.21,6.94,680.45,Loamy Soil,Kharif,Junagadh,Medium,Groundnut
52,30,34,33.0,41.18,5.54,289.02,Loamy Soil,Kharif,Kutch,Low,Bajra
54,48,31,27.93,71.45,6.55,648.15,Sandy Soil,Kharif,Amreli,Medium,Groundnut
108,52,47,31.75,69.04,5.88,840.52,Black Soil,Kharif,Rajkot,Medium,Cotton
45,33,32,25.51,33.16,6.95,107.79,Sandy Soil,Rabi,Rajkot,Low,Cumin
77,48,44,29.43,66.4,6.28,992.16,Red Soil,Kharif,Anand,High,Maize
76,48,45,20.67,49.17,6.29,197.65,Loamy Soil,Rabi,Mehsana,Medium,Wheat
65,45,30,17.01,50.51,6.52,175.08,Sandy Soil,Rabi,Banaskantha,Low,Mustard
57,33,28,30.83,60.11,6.14,472.12,Sandy Soil,Kharif,Rajkot,Low,Castor
100,53,43,31.58,67.05,7.1,790.7,Alluvial Soil,Kharif,Jamnagar,High,Cotton
33,61,30,23.44,42.55,6.67,183.44,Clay Soil,Rabi,Ahmedabad,Low,Gram
112,43,44,32.01,65.16,6.27,841.52,Alluvial Soil,Kharif,Junagadh,High,Cotton
37,30,26,23.99,34.19,5.69,148.09,Alluvial Soil,Rabi,Kutch,Low,Cumin
65,33,43,34.13,46.86,6.95,290.04,Sandy Soil,Kharif,Mehsana,Low,Bajra
93,48,40,19.05,51.19,6.14,202.22,Clay Soil,Rabi,Banaskantha,Medium,Wheat
84,49,52,32.29,60.85,6.59,825.69,Black Soil,Kharif,Vadodara,Medium,Cotton
52,31,32,36.95,40.14,5.87,279.57,Sandy Soil,Kharif,Kutch,Low,Bajra
35,28,24,27.31,52.5,5.92,380.83,Alluvial Soil,Kharif,Bhavnagar,Low,Sesame
78,46,39,18.44,48.38,5.29,254.75,Loamy Soil,Rabi,Rajkot,Medium,Wheat
34,51,32,22.2,38.47,6.89,203.3,Loamy Soil,Rabi,Jamnagar,Low,Gram
62,29,28,31.19,54.05,6.71,374.77,Sandy Soil,Kharif,Anand,Low,Castor
44,43,28,28.05,56.35,7.22,503.04,Alluvial Soil,Kharif,Anand,Low,Castor
36,32,26,23.2,31.84,6.17,149.24,Alluvial Soil,Rabi,Banaskantha,Low,Cumin
79,56,42,24.88,68.72,6.56,959.85,Loamy Soil,Kharif,Mehsana,High,Maize
55,30,32,29.24,53.22,7.06,418.74,Loamy Soil,Kharif,Kutch,Low,Castor
94,59,43,26.74,66.26,5.78,781.74,Alluvial Soil,Kharif,Banaskantha,High,Maize
32,32,25,21.66,34.31,7.09,104.75,Sandy Soil,Rabi,Mehsana,Low,Cumin
94,38,46,33.9,68.09,6.98,882.41,Alluvial Soil,Kharif,Rajkot,Medium,Cotton
98,48,40,28.06,65.78,6.96,813.29,Loamy Soil,Kharif,Banaskantha,High,Maize
91,41,41,20.77,49.96,6.89,226.43,Loamy Soil,Rabi,Rajkot,Medium,Wheat
80,54,45,28.73,72.83,6.33,1046.61,Red Soil,Kharif,Mehsana,High,Maize
30,27,23,28.88,49.17,6.88,405.89,Alluvial Soil,Kharif,Rajkot,Low,Sesame
51,35,38,28.94,42.05,6.31,254.39,Sandy Soil,Kharif,Banaskantha,Low,Bajra
67,33,36,19.51,52.23,6.48,118.18,Alluvial Soil,Rabi,Ahmedabad,Low,Mustard
102,50,46,33.02,61.53,7.47,678.59,Alluvial Soil,Kharif,Rajkot,Medium,Cotton
45,43,37,29.52,72.76,6.27,601.36,Loamy Soil,Kharif,Jamnagar,Medium,Groundnut
39,34,27,30.11,46.45,6.52,397.43,Loamy Soil,Kharif,Bhavnagar,Low,Sesame
75,43,30,21.02,49.62,6.43,158.01,Sandy Soil,Rabi,Mehsana,Low,Mustard
42,38,37,30.91,53.62,6.33,545.46,Sandy Soil,Kharif,Kutch,Low,Castor
33,32,21,30.27,50.68,7.01,403.72,Alluvial Soil,Kharif,Bhavnagar,Low,Sesame
60,36,31,32.13,55.74,6.91,450.63,Sandy Soil,Kharif,Mehsana,Low,Castor
61,33,31,32.47,43.0,6.81,227.4,Loamy Soil,Kharif,Jamnagar,Low,Bajra
97,58,52,32.02,61.75,6.82,801.29,Alluvial Soil,Kharif,Jamnagar,High,Cotton
90,51,51,32.21,63.04,6.61,847.64,Black Soil,Kharif,Vadodara,High,Cotton
32,30,27,32.01,46.92,7.15,476.21,Sandy Soil,Kharif,Junagadh,Low,Sesame
57,29,30,34.5,36.26,5.87,225.32,Loamy Soil,Kharif,Ahmedabad,Low,Bajra
34,26,25,33.71,54.92,6.28,410.15,Sandy Soil,Kharif,Junagadh,Low,Sesame
80,46,40,24.48,70.84,6.52,837.77,Alluvial Soil,Kharif,Vadodara,High,Maize
39,40,34,27.95,71.25,7.05,587.49,Loamy Soil,Kharif,Rajkot,Medium,Groundnut
94,45,44,18.97,47.69,6.61,167.03,Loamy Soil,Rabi,Mehsana,Medium,Wheat
94,43,54,31.34,60.77,6.42,804.56,Black Soil,Kharif,Junagadh,High,Cotton
44,50,31,30.65,71.03,6.62,662.26,Black Soil,Kharif,Jamnagar,Medium,Groundnut
38,24,25,27.42,53.48,7.34,403.33,Loamy Soil,Kharif,Junagadh,Low,Sesame
60,38,29,33.74,40.37,7.47,226.79,Sandy Soil,Kharif,Mehsana,Low,Bajra
28,35,27,30.87,52.91,5.64,383.3,Loamy Soil,Kharif,Rajkot,Low,Sesame
40,40,20,29.8,74.3,6.76,619.63,Sandy Soil,Kharif,Rajkot,Medium,Groundnut
75,51,32,27.69,65.3,6.45,820.36,Loamy Soil,Kharif,Anand,High,Maize
79,55,41,24.47,69.27,6.73,916.27,Alluvial Soil,Kharif,Mehsana,High,Maize
58,33,27,32.32,37.14,6.87,204.96,Loamy Soil,Kharif,Kutch,Low,Bajra
92,50,47,25.43,73.59,6.1,982.65,Alluvial Soil,Kharif,Vadodara,High,Maize
35,22,30,22.72,37.52,7.32,132.84,Sandy Soil,Rabi,Banaskantha,Low,Cumin
35,41,30,26.18,70.54,7.47,686.78,Black Soil,Kharif,Bhavnagar,Medium,Groundnut
32,41,35,26.03,75.14,6.23,630.57,Black Soil,Kharif,Junagadh,Medium,Groundnut
35,45,42,26.85,77.6,7.5,645.13,Sandy Soil,Kharif,Amreli,Medium,Groundnut
37,35,16,27.49,50.77,6.37,415.11,Loamy Soil,Kharif,Bhavnagar,Low,Sesame
82,46,45,25.81,69.52,5.84,912.36,Red Soil,Kharif,Mehsana,High,Maize
44,34,31,21.81,31.01,6.38,101.49,Alluvial Soil,Rabi,Jamnagar,Low,Cumin
53,34,29,31.15,53.61,6.69,502.44,Sandy Soil,Kharif,Rajkot,Low,Castor
99,40,46,30.26,67.23,6.68,737.34,Black Soil,Kharif,Rajkot,Medium,Cotton
93,53,43,31.46,62.71,5.78,809.72,Black Soil,Kharif,Vadodara,High,Cotton
49,37,41,32.18,42.4,6.34,255.22,Loamy Soil,Kharif,Banaskantha,Low,Bajra
40,50,34,29.49,65.5,6.35,715.36,Black Soil,Kharif,Bhavnagar,Medium,Groundnut
95,49,46,18.87,46.63,6.51,208.32,Alluvial Soil,Rabi,Mehsana,Medium,Wheat
42,36,35,28.37,53.32,7.89,408.89,Sandy Soil,Kharif,Banaskantha,Low,Castor
29,26,33,30.95,52.09,6.55,338.63,Alluvial Soil,Kharif,Kutch,Low,Sesame
55,36,33,33.38,36.12,6.0,322.0,Loamy Soil,Kharif,Mehsana,Low,Bajra
66,47,21,22.9,52.24,7.68,214.06,Alluvial Soil,Rabi,Mehsana,Low,Mustard
33,32,25,26.78,31.48,6.75,121.56,Alluvial Soil,Rabi,Jamnagar,Low,Cumin
108,47,47,31.36,66.6,6.67,869.17,Black Soil,Kharif,Junagadh,High,Cotton
36,31,31,28.06,57.27,6.48,408.79,Loamy Soil,Kharif,Junagadh,Low,Sesame
30,45,37,27.75,68.74,6.92,734.29,Black Soil,Kharif,Junagadh,Medium,Groundnut
85,51,43,18.46,49.7,6.07,159.26,Alluvial Soil,Rabi,Rajkot,Medium,Wheat
74,46,45,19.18,46.58,7.51,172.57,Loamy Soil,Rabi,Anand,Medium,Wheat
56,27,21,30.33,52.17,6.64,540.1,Alluvial Soil,Kharif,Rajkot,Low,Castor
79,51,45,31.47,64.62,6.63,789.99,Alluvial Soil,Kharif,Jamnagar,High,Cotton
54,32,33,35.25,40.8,6.73,270.46,Loamy Soil,Kharif,Kutch,Low,Bajra
98,53,56,33.31,67.9,6.27,740.72,Black Soil,Kharif,Junagadh,High,Cotton
36,34,29,28.13,60.0,6.72,434.12,Loamy Soil,Kharif,Rajkot,Low,Castor
60,33,32,32.03,42.02,5.76,270.98,Sandy Soil,Kharif,Kutch,Low,Bajra
73,48,48,20.68,47.57,6.06,173.32,Clay Soil,Rabi,Ahmedabad,Medium,Wheat
100,40,49,18.46,45.15,6.77,240.53,Black Soil,Rabi,Ahmedabad,Medium,Wheat
34,54,34,20.16,41.03,6.36,189.69,Black Soil,Rabi,Rajkot,Low,Gram
43,51,34,28.14,70.03,6.76,757.82,Loamy Soil,Kharif,Amreli,Medium,Groundnut
56,44,37,20.03,56.34,6.85,209.6,Alluvial Soil,Rabi,Banaskantha,Low,Mustard
87,45,45,27.9,70.59,6.28,872.88,Loamy Soil,Kharif,Anand,High,Maize
91,48,45,30.21,62.27,6.26,858.29,Black Soil,Kharif,Vadodara,High,Cotton
81,48,51,20.53,48.89,6.44,225.83,Alluvial Soil,Rabi,Anand,Medium,Wheat
33,24,21,32.58,43.71,6.2,392.81,Loamy Soil,Kharif,Bhavnagar,Low,Sesame
40,30,31,28.6,73.39,6.95,630.63,Sandy Soil,Kharif,Amreli,Medium,Groundnut
33,20,27,30.92,46.12,6.59,454.88,Sandy Soil,Kharif,Bhavnagar,Low,Sesame
38,33,33,22.38,31.5,6.17,97.88,Alluvial Soil,Rabi,Kutch,Low,Cumin
42,45,32,27.05,71.14,6.71,580.73,Black Soil,Kharif,Jamnagar,Medium,Groundnut
90,46,45,17.96,47.56,5.83,195.86,Clay Soil,Rabi,Rajkot,Medium,Wheat
41,35,25,27.33,54.01,6.73,441.03,Alluvial Soil,Kharif,Bhavnagar,Low,Sesame
53,34,24,31.73,59.2,5.68,406.15,Sandy Soil,Kharif,Rajkot,Low,Castor
34,26,29,29.31,53.26,6.39,360.61,Sandy Soil,Kharif,Junagadh,Low,Sesame
86,48,51,18.92,50.3,7.61,202.21,Loamy Soil,Rabi,Banaskantha,Medium,Wheat
50,36,29,36.0,45.21,6.35,313.34,Sandy Soil,Kharif,Mehsana,Low,Bajra
96,45,38,18.72,49.7,6.28,125.99,Clay Soil,Rabi,Mehsana,Medium,Wheat
33,48,31,29.22,75.53,6.18,689.66,Sandy Soil,Kharif,Junagadh,Medium,Groundnut
43,29,29,32.23,55.72,5.82,416.47,Loamy Soil,Kharif,Kutch,Low,Castor
40,48,35,20.37,43.22,5.47,167.69,Loamy Soil,Rabi,Rajkot,Low,Gram
35,31,35,25.01,35.11,6.6,148.27,Sandy Soil,Rabi,Mehsana,Low,Cumin
35,44,33,26.68,71.47,6.56,652.33,Black Soil,Kharif,Amreli,Medium,Groundnut
32,43,33,27.42,78.6,6.08,708.97,Black Soil,Kharif,Jamnagar,Medium,Groundnut
84,50,38,27.62,71.96,6.21,838.53,Red Soil,Kharif,Banaskantha,High,Maize
117,52,48,32.92,60.77,7.35,813.49,Alluvial Soil,Kharif,Bhavnagar,High,Cotton
59,34,31,34.18,39.98,6.02,195.8,Loamy Soil,Kharif,Banaskantha,Low,Bajra
55,42,33,35.23,37.4,6.52,280.84,Sandy Soil,Kharif,Kutch,Low,Bajra
52,33,35,33.71,38.55,6.25,192.24,Loamy Soil,Kharif,Banaskantha,Low,Bajra
95,53,38,27.73,68.7,6.16,800.95,Loamy Soil,Kharif,Vadodara,High,Maize
33,52,32,22.31,45.27,7.16,164.1,Clay Soil,Rabi,Junagadh,Low,Gram
35,44,40,17.05,39.59,5.66,202.49,Clay Soil,Rabi,Vadodara,Low,Gram
51,23,34,34.25,33.63,6.15,199.71,Loamy Soil,Kharif,Mehsana,Low,Bajra
57,42,33,18.03,57.45,6.23,183.94,Sandy Soil,Rabi,Mehsana,Low,Mustard
99,38,47,18.52,48.06,6.53,191.61,Black Soil,Rabi,Rajkot,Medium,Wheat
31,35,30,23.77,31.32,6.31,129.93,Loamy Soil,Rabi,Jamnagar,Low,Cumin
87,51,53,29.08,70.11,7.06,769.35,Black Soil,Kharif,Surat,Medium,Cotton
75,47,37,19.73,46.38,7.11,186.91,Clay Soil,Rabi,Rajkot,Medium,Wheat
29,62,40,20.63,40.33,6.67,192.61,Loamy Soil,Rabi,Junagadh,Low,Gram
49,40,36,35.16,41.63,6.95,228.3,Sandy Soil,Kharif,Jamnagar,Low,Bajra
52,39,32,28.27,52.7,6.95,457.4,Alluvial Soil,Kharif,Anand,Low,Castor
88,51,47,32.8,67.23,6.13,805.47,Alluvial Soil,Kharif,Rajkot,High,Cotton
65,31,32,20.36,52.13,6.3,188.55,Alluvial Soil,Rabi,Mehsana,Low,Mustard
38,29,23,26.28,47.11,5.9,359.54,Alluvial Soil,Kharif,Junagadh,Low,Sesame
104,47,39,18.6,48.43,6.05,175.82,Loamy Soil,Rabi,Mehsana,Medium,Wheat
30,46,29,29.43,73.06,6.8,720.53,Loamy Soil,Kharif,Bhavnagar,Medium,Groundnut
39,27,29,28.71,45.33,6.86,439.01,Loamy Soil,Kharif,Amreli,Low,Sesame
42,35,31,30.17,53.81,7.13,476.44,Loamy Soil,Kharif,Rajkot,Low,Castor
36,26,22,29.93,44.04,6.04,367.51,Alluvial Soil,Kharif,Junagadh,Low,Sesame
31,38,38,20.63,47.46,6.87,198.75,Black Soil,Rabi,Jamnagar,Low,Gram
41,26,27,28.89,47.85,5.99,448.17,Alluvial Soil,Kharif,Rajkot,Low,Sesame
39,49,35,28.16,69.78,5.78,655.33,Loamy Soil,Kharif,Amreli,Medium,Groundnut
83,50,39,29.07,63.84,6.39,955.75,Loamy Soil,Kharif,Banaskantha,High,Maize
100,45,57,34.53,65.52,7.01,811.69,Black Soil,Kharif,Amreli,High,Cotton
29,32,24,23.35,31.29,6.02,159.64,Sandy Soil,Rabi,Jamnagar,Low,Cumin
112,46,45,19.0,45.16,7.19,262.45,Alluvial Soil,Rabi,Banaskantha,Medium,Wheat
28,31,23,25.42,30.1,5.83,75.25,Sandy Soil,Rabi,Banaskantha,Low,Cumin
51,30,36,31.91,40.98,6.65,239.51,Loamy Soil,Kharif,Jamnagar,Low,Bajra
42,31,30,24.38,37.14,5.81,122.02,Alluvial Soil,Rabi,Jamnagar,Low,Cumin
92,41,42,19.89,46.68,7.66,197.51,Black Soil,Rabi,Anand,Medium,Wheat
90,53,42,31.46,61.68,6.83,857.23,Black Soil,Kharif,Vadodara,Medium,Cotton
84,55,52,31.2,68.89,5.67,700.35,Black Soil,Kharif,Jamnagar,High,Cotton
37,31,23,23.15,36.53,6.76,124.62,Sandy Soil,Rabi,Mehsana,Low,Cumin
47,18,28,31.76,46.95,6.26,458.72,Loamy Soil,Kharif,Kutch,Low,Sesame
54,41,28,32.11,41.43,6.32,285.9,Sandy Soil,Kharif,Jamnagar,Low,Bajra
106,40,46,20.77,47.31,6.41,152.37,Black Soil,Rabi,Anand,Medium,Wheat
71,51,37,24.75,70.68,6.73,902.66,Red Soil,Kharif,Ahmedabad,High,Maize
39,36,30,27.65,71.26,6.53,672.07,Black Soil,Kharif,Jamnagar,Medium,Groundnut
62,27,36,34.78,39.68,6.45,264.47,Sandy Soil,Kharif,Kutch,Low,Bajra
36,42,34,23.23,44.77,6.81,165.92,Black Soil,Rabi,Vadodara,Low,Gram
87,54,52,31.44,56.32,6.6,829.12,Alluvial Soil,Kharif,Rajkot,High,Cotton
